address,Trading Volume Leaderboard,Trading volume Raffle,P$L Leaderboard,Realized profit,tokenAmount,tokenName
0x9a91cdb519c6ce5880d72456c0f8d48b607d048e,3000 ,0,0,0,3000 ,ENA
0x36e2fd326283dd1d19273c487cb9f1d1f110c553,3000 ,0,0,0,3000 ,ENA
0x9a6580adf2f83340d8bce7b220f853f5798e9a56,3000 ,0,0,0,3000 ,ENA
0x2ed14ad30e88ebc74bd07d5a264639ab45729f65,3000 ,0,0,0,3000 ,ENA
0x75b5c70d1bfe7b6ce723757e6682747e64753bc3,3000 ,0,0,0,3000 ,ENA
0x978f7496679e2143da56d45c8a2e4968ab26350a,3000 ,0,0,0,3000 ,ENA
0xc0e48e60640789b9d821489258c73937b3255bbf,3000 ,0,0,0,3000 ,ENA
0x10864c77e38d9bd238737ff3493c781c77202198,3000 ,0,0,0,3000 ,ENA
0x2ec5bf43d141c183008882008bc8ea332acfffc5,3000 ,0,0,0,3000 ,ENA
0x699f60ec86c829865491f4d352608c1238d5f91f,800 ,0,0,0,800 ,ENA
0x3a6ce6f8aec012381320e1338218b413ae5a72c0,800 ,0,0,0,800 ,ENA
0xebff7d466432e3cd539e4ce1697405c18b7556f8,800 ,0,0,0,800 ,ENA
0x85c231bf7de9ae1cab9eddc5c25d19153270f929,800 ,0,0,0,800 ,ENA
0x9ccd2fcfa83d7b1f2b90ef2684b046cdb12c95cc,800 ,0,0,0,800 ,ENA
0xdaa598a5597ce26eaf88706672ed894615a82a70,800 ,0,0,0,800 ,ENA
0xf49373b3ee18053d5a545188f2bb8cab3631af92,800 ,0,0,0,800 ,ENA
0xcfd6f409dd6c79a99f80c5fe11ccb920b62ff3cb,800 ,0,0,0,800 ,ENA
0xd19ba00926b6d9fccee9536cc2ed58dd09be30e9,800 ,0,0,0,800 ,ENA
0x26bdd5581891ed9f584fea14379f02fe92c3de88,800 ,0,0,0,800 ,ENA
0x149bd21a5f6e3532619ff22b0f3aa3184d206dff,800 ,0,0,0,800 ,ENA
0x2fdcdef102ead17300dd3e5a80d8b7c22485d989,800 ,0,0,0,800 ,ENA
0xc03cb072509e1f450c0f47c5fceece584462a01c,800 ,0,0,0,800 ,ENA
0x4254c53fc3b3b38df025ea30bcae410e11bb95b6,800 ,0,0,0,800 ,ENA
0x041789e7b764732d5459fadc2574282771c04e87,800 ,0,0,0,800 ,ENA
0x759e0a035ac04059c3ad67a6fa8e136d88dd9c7a,800 ,0,0,0,800 ,ENA
0x331a591204c609fba5ddd2522bff4c200ec3b49e,800 ,0,0,0,800 ,ENA
